Name,Address,PhoneNumber,Latitude,Longitude,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
쉽커피,부산광역시 연제구 중앙대로 1122,,35.1877381411834,129.081523361102,07:30 ~ 22:30,07:30 ~ 22:30,07:30 ~ 22:30,07:30 ~ 22:30,07:30 ~ 22:30,07:30 ~ 22:30,07:30 ~ 22:30
카페곰손 초량점,부산광역시 동구 초량중로 114,,35.121213153349,129.041661018536,11:00 ~ 02:30,11:00 ~ 02:30,,11:00 ~ 02:30,11:00 ~ 02:30,11:00 ~ 02:30,11:00 ~ 02:30
시골커피 사하구청점,부산광역시 사하구 낙동대로398번길 5,051 2921544,35.1037569448057,128.974818043071,08:00 ~ 20:30,08:00 ~ 20:30,08:00 ~ 20:30,08:00 ~ 20:30,08:00 ~ 20:30,10:00 ~ 18:00,
컴포즈커피 부산경찰청점,부산광역시 부산진구 동평로405번길 105,,35.1779951696604,129.072396058117,07:00 ~ 22:00,07:00 ~ 22:00,07:00 ~ 22:00,07:00 ~ 22:00,07:00 ~ 22:00,07:00 ~ 22:00,07:00 ~ 22:00
앤티앤스 부산서부시외버스터미널점,부산광역시 사상구 사상로 201,,35.1631461622437,128.98098582427,10:00 ~ 23:00,10:00 ~ 23:00,10:00 ~ 23:00,10:00 ~ 23:00,10:00 ~ 23:00,10:00 ~ 23:00,10:00 ~ 23:00
아덴 블랑제리 동아대병원점,부산광역시 서구 보수대로280번길 39-4,,35.1200150427089,129.016103376368,07:30 ~ 21:00,07:30 ~ 21:00,07:30 ~ 21:00,07:30 ~ 21:00,07:30 ~ 21:00,08:30 ~ 20:00,
블랙업커피 롯데광복,부산광역시 중구 중앙대로 2,051 678 4170,35.0979848964696,129.036632251021,10:30 ~ 21:00,10:30 ~ 21:00,10:30 ~ 21:00,10:30 ~ 21:00,10:30 ~ 21:00,10:30 ~ 21:00,10:30 ~ 21:00
띰꼬,부산광역시 부산진구 당감서로 74-3,,35.1671527753568,129.037107447722,10:30 ~ 22:30,10:30 ~ 22:30,10:30 ~ 22:30,10:30 ~ 22:30,10:30 ~ 22:30,10:30 ~ 22:30,10:30 ~ 22:30
플러스82 수영점,부산광역시 수영구 광일로55번길 49,,35.1606665742503,129.10760194017,00:00 ~ 23:59,00:00 ~ 23:59,00:00 ~ 23:59,00:00 ~ 23:59,00:00 ~ 23:59,00:00 ~ 23:59,00:00 ~ 23:59
스탠다드,부산광역시 사상구 사상로 312,,35.1725448891366,128.983660780384,07:00 ~ 22:00,07:00 ~ 22:00,07:00 ~ 22:00,07:00 ~ 22:00,07:00 ~ 22:00,07:00 ~ 22:00,07:00 ~ 22:00
투썸플레이스범일동점,부산광역시 동구 범일로 102 (범일동),051 635 6399,35.1392248304239,129.059695512756,08:00 ~ 23:30,08:00 ~ 23:30,08:00 ~ 23:30,08:00 ~ 23:30,08:00 ~ 23:30,08:00 ~ 23:30,08:00 ~ 23:30
공차 현대부산점,부산광역시 동구 범일로 125 (범일동),02  779 7758,35.1413018869521,129.058573869428,10:30 ~ 20:00,10:30 ~ 20:00,10:30 ~ 20:00,10:30 ~ 20:00,10:30 ~ 20:00,10:30 ~ 20:30,10:30 ~ 20:30
이디야,부산광역시 동구 중앙대로226번길 3-7 (초량동),,35.1175624970585,129.041603022636,07:00 ~ 22:30,07:00 ~ 22:30,07:00 ~ 22:30,07:00 ~ 22:30,07:00 ~ 22:30,09:00 ~ 21:00,09:00 ~ 21:00
블랙커피,부산광역시 동구 중앙대로 297 (초량동,,35.1232306338816,129.043717065848,09:30 ~ 19:00,09:30 ~ 19:00,09:30 ~ 19:00,09:30 ~ 19:00,09:30 ~ 19:00,09:30 ~ 19:00,
엔제리너스 영도동삼점,부산광역시 영도구 절영로 554 (동삼동),4058455,35.0754909643964,129.072758663861,09:00 ~ 23:00,09:00 ~ 23:00,09:00 ~ 23:00,09:00 ~ 23:00,09:00 ~ 23:00,09:00 ~ 23:00,09:00 ~ 23:00
킹프레소 수영점,부산광역시 수영구 연수로415번길 6,051 997 1007,35.1682125960497,129.114793929119,08:00 ~ 22:30,08:00 ~ 22:30,08:00 ~ 22:30,08:00 ~ 22:30,08:00 ~ 22:30,08:00 ~ 22:30,08:00 ~ 22:30
카페파인,부산광역시 영도구 절영로 484,,35.0708455359762,129.069228452418,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00
아브라함커피,부산광역시 영도구 와치로 195,,35.077857525133,129.064652742881,13:30 ~ 17:30,13:30 ~ 17:30,13:30 ~ 17:30,,13:30 ~ 17:30,13:30 ~ 17:30,
커피미미,부산광역시 영도구 남항로 26-10 (남항동2가,07089089002,35.0889084559411,129.039236365364,11:00 ~ 15:00,11:00 ~ 15:00,11:00 ~ 15:00,11:00 ~ 15:00,11:00 ~ 15:00,11:00 ~ 15:00,
엔제리너스커피 부산태종대점,부산광역시 영도구 태종로 820 (동삼동),051 404 1103,35.0632634418609,129.080686514611,09:00 ~ 23:00,09:00 ~ 23:00,09:00 ~ 23:00,09:00 ~ 23:00,09:00 ~ 23:00,09:00 ~ 23:00,09:00 ~ 23:00
도타이,부산광역시 영도구 와치로 266 (동삼동,051 404 4578,35.0754307334395,129.069474367541,11:00 ~ 22:00,11:00 ~ 22:00,11:00 ~ 22:00,11:00 ~ 22:00,11:00 ~ 22:00,,
에쎄떼(e.c.t),부산광역시 영도구 대평북로 29 (대평동1가),,35.0925123591949,129.034661461616,10:30 ~ 19:00,10:30 ~ 19:00,10:30 ~ 19:00,10:30 ~ 19:00,10:30 ~ 19:00,10:30 ~ 19:00,10:30 ~ 19:00
커피나무,부산광역시 영도구 남항로9번길 5,051 415 6655,35.0901944567137,129.037713147548,08:00 ~ 21:00,08:00 ~ 21:00,08:00 ~ 21:00,08:00 ~ 21:00,08:00 ~ 21:00,08:00 ~ 21:00,08:00 ~ 21:00
카페베네 태종대점,부산광역시 영도구 태종로 744,051 405 4055,35.0696498029222,129.079644243617,09:00 ~ 24:00,09:00 ~ 24:00,09:00 ~ 24:00,09:00 ~ 24:00,09:00 ~ 24:00,09:00 ~ 24:00,09:00 ~ 24:00
카페331,부산광역시 영도구 태종로 331,051 417 0331,35.0963408102243,129.062016078752,08:30 ~ 19:30,08:30 ~ 19:30,08:30 ~ 19:30,08:30 ~ 19:30,08:30 ~ 19:30,08:30 ~ 14:00,
동삼희망(주),부산광역시 영도구 동삼로 69 (동삼동),051 405 6004,35.0795652475978,129.070142722581,,10:00 ~ 18:00,10:00 ~ 18:00,10:00 ~ 18:00,10:00 ~ 18:00,10:00 ~ 18:00,10:00 ~ 18:00
